ID,RA,DEC,CONFIDENCE,FLG_SPEC,CLASS
radec_31.52183431_-47.156912,31.52183431,-47.156912,0.942131,0,3
radec_1.93570418_-40.56354,1.93570418,-40.56354,0.941916,0,3
radec_165.7821569_20.694198,165.7821569,20.694198,0.941887,0,3
radec_34.66473564_26.758268,34.66473564,26.758268,0.941759,0,3
radec_160.2220469_1.984955,160.2220469,1.984955,0.941727,0,3
radec_316.9849899_16.261858,316.9849899,16.261858,0.941579,0,3
radec_275.2081032_33.912713,275.2081032,33.912713,0.941562,0,3
radec_269.4127091_26.566918,269.4127091,26.566918,0.941517,0,3
radec_224.4170949_27.484246,224.4170949,27.484246,0.941482,0,3
radec_250.4314297_16.011049,250.4314297,16.011049,0.941451,0,3
radec_315.553821_-56.508346,315.553821,-56.508346,0.941408,0,3
radec_155.79233_-2.910384,155.79233,-2.910384,0.94127,1,2
radec_259.0404495_21.944501,259.0404495,21.944501,0.941256,0,3
radec_123.8189485_26.770379,123.8189485,26.770379,0.94123,0,3
radec_58.59541712_-9.209881,58.59541712,-9.209881,0.941163,0,3
radec_232.7197209_17.71736,232.7197209,17.71736,0.941108,0,3
radec_337.6286438_-49.336925,337.6286438,-49.336925,0.941073,0,3
radec_237.4431651_13.360021,237.4431651,13.360021,0.940966,1,2
radec_29.15951813_-50.908131,29.15951813,-50.908131,0.940934,0,3
radec_13.12363066_-26.721276,13.12363066,-26.721276,0.940866,0,3
radec_163.3778822_-2.490696,163.3778822,-2.490696,0.940862,1,2
radec_119.6037171_17.111849,119.6037171,17.111849,0.940833,1,2
radec_197.6537655_7.340446,197.6537655,7.340446,0.940732,1,2
radec_124.2165092_17.803369,124.2165092,17.803369,0.940714,0,3
radec_356.2123677_17.180645,356.2123677,17.180645,0.94062,0,3
radec_330.7240273_-44.03446,330.7240273,-44.03446,0.940594,0,3
radec_334.4093836_-53.275305,334.4093836,-53.275305,0.940585,0,3
radec_340.791075_-61.733301,340.791075,-61.733301,0.940415,0,3
radec_339.6594617_-52.997889,339.6594617,-52.997889,0.940326,0,3
radec_195.7062016_1.808902,195.7062016,1.808902,0.940283,1,2
radec_342.2149849_5.539778,342.2149849,5.539778,0.940274,0,3
radec_39.4913451_-11.953766,39.4913451,-11.953766,0.940247,0,3
radec_14.87193075_-14.88432,14.87193075,-14.88432,0.940175,0,3
radec_91.8568207_-57.330939,91.8568207,-57.330939,0.940164,0,3
radec_348.2943884_32.283984,348.2943884,32.283984,0.940105,0,3
radec_171.4138855_-5.713035,171.4138855,-5.713035,0.940034,0,3
radec_26.12822549_23.647576,26.12822549,23.647576,0.940023,0,3
radec_219.6338348_-6.908138,219.6338348,-6.908138,0.939872,0,3
radec_346.5986224_-43.082182,346.5986224,-43.082182,0.939831,0,3
radec_348.1270151_30.802562,348.1270151,30.802562,0.939739,0,3
radec_234.12043_26.544159,234.12043,26.544159,0.939731,0,3
radec_321.7058375_16.381285,321.7058375,16.381285,0.939722,0,3
radec_160.5426406_29.678418,160.5426406,29.678418,0.939608,0,3
radec_183.6382729_22.271576,183.6382729,22.271576,0.939514,0,3
radec_111.8446076_20.897197,111.8446076,20.897197,0.939461,0,3
radec_10.88218638_-44.615165,10.88218638,-44.615165,0.939434,0,3
radec_244.8638663_17.6594,244.8638663,17.6594,0.939424,0,3
radec_330.3697716_-3.70236,330.3697716,-3.70236,0.939382,0,3
radec_3.45689468_-42.350466,3.45689468,-42.350466,0.939145,0,3
radec_231.5590794_27.967284,231.5590794,27.967284,0.939115,0,3
radec_124.2679871_15.037748,124.2679871,15.037748,0.939101,0,3
radec_28.47992489_30.533265,28.47992489,30.533265,0.939044,0,3
radec_352.2830426_33.826564,352.2830426,33.826564,0.938926,0,3
radec_36.23099304_13.429794,36.23099304,13.429794,0.938818,0,3
radec_310.0267665_3.358012,310.0267665,3.358012,0.9388,0,3
radec_339.0216424_23.277314,339.0216424,23.277314,0.938779,1,2
radec_334.2904105_22.640286,334.2904105,22.640286,0.938777,0,3
radec_170.7856868_-6.734696,170.7856868,-6.734696,0.938765,1,2
radec_314.926586_-57.203745,314.926586,-57.203745,0.938763,0,3
radec_261.6244788_29.397774,261.6244788,29.397774,0.938762,0,3
radec_163.6649658_67.929931,163.6649658,67.929931,0.938749,0,3
radec_260.6754078_27.199715,260.6754078,27.199715,0.938709,0,3
radec_180.7541588_8.152257,180.7541588,8.152257,0.938687,0,3
radec_21.32311071_-46.164393,21.32311071,-46.164393,0.938674,0,3
radec_183.7984337_48.34969,183.7984337,48.34969,0.938627,1,2
radec_321.8271693_-45.513435,321.8271693,-45.513435,0.938588,0,3
radec_34.41723245_15.659863,34.41723245,15.659863,0.938574,0,3
radec_117.6067753_73.009601,117.6067753,73.009601,0.938518,0,3
radec_249.9709475_7.311787,249.9709475,7.311787,0.938511,0,3
radec_7.49504471_-52.852105,7.49504471,-52.852105,0.938492,0,3
radec_260.5978301_31.576059,260.5978301,31.576059,0.938415,0,3
radec_135.4595315_28.54746,135.4595315,28.54746,0.938397,0,3
radec_247.2255452_10.155381,247.2255452,10.155381,0.938388,0,3
radec_260.5777029_12.067426,260.5777029,12.067426,0.93838,0,3
radec_245.1822225_-1.00627,245.1822225,-1.00627,0.938319,0,3
radec_345.9436095_-46.736041,345.9436095,-46.736041,0.938281,0,3
radec_338.1693913_-50.807361,338.1693913,-50.807361,0.93828,0,3
radec_20.45071801_16.574624,20.45071801,16.574624,0.938249,0,3
radec_306.8430192_-41.253412,306.8430192,-41.253412,0.938186,0,3
radec_255.892203_17.479478,255.892203,17.479478,0.938127,1,2
radec_322.0036229_-52.746379,322.0036229,-52.746379,0.938073,0,3
radec_199.9938786_48.284614,199.9938786,48.284614,0.938065,1,2
radec_214.0394968_12.298217,214.0394968,12.298217,0.938004,0,3
radec_228.0878892_31.905259,228.0878892,31.905259,0.937937,0,3
radec_13.14338886_-32.599797,13.14338886,-32.599797,0.937898,0,3
radec_156.5124212_25.262376,156.5124212,25.262376,0.937818,0,3
radec_169.0945716_15.823236,169.0945716,15.823236,0.93774,0,3
radec_324.4945472_-50.136557,324.4945472,-50.136557,0.937665,0,3
radec_321.5114741_-40.764343,321.5114741,-40.764343,0.937658,0,3
radec_262.4739958_26.296612,262.4739958,26.296612,0.937515,1,2
radec_221.4230408_60.133152,221.4230408,60.133152,0.937441,0,3
radec_266.7906415_12.999591,266.7906415,12.999591,0.937388,0,3
radec_313.1757746_-49.736889,313.1757746,-49.736889,0.937315,0,3
radec_321.7307337_-57.405444,321.7307337,-57.405444,0.937231,0,3
radec_195.5364757_35.787865,195.5364757,35.787865,0.937153,0,3
radec_325.7620269_-42.623912,325.7620269,-42.623912,0.93706,0,3
radec_321.9172988_-57.293427,321.9172988,-57.293427,0.936992,0,3
radec_182.1456944_24.259325,182.1456944,24.259325,0.936946,0,3
radec_260.0497832_19.680853,260.0497832,19.680853,0.936897,0,3
radec_173.6633779_31.610651,173.6633779,31.610651,0.936869,0,3
radec_80.75940127_-31.704701,80.75940127,-31.704701,0.936847,0,3
radec_235.7797746_20.721669,235.7797746,20.721669,0.936837,0,3
radec_228.8954237_3.364781,228.8954237,3.364781,0.936802,1,2
radec_186.3795344_30.669396,186.3795344,30.669396,0.936721,1,2
radec_37.57038966_-0.128807,37.57038966,-0.128807,0.936648,0,3
radec_106.7631287_32.234296,106.7631287,32.234296,0.936603,0,3
radec_34.6763293_24.062117,34.6763293,24.062117,0.936573,0,3
radec_320.5709342_-0.327055,320.5709342,-0.327055,0.936529,1,2
radec_6.98133092_-12.127988,6.98133092,-12.127988,0.936519,0,3
