ID,RA,DEC,CONFIDENCE,FLG_SPEC,CLASS
rd_215.6795053_-4.9133522,215.6795053,-4.9133522,0.946941,0,
rd_120.494823_55.97193122,120.494823,55.97193122,0.946941,0,
rd_9.06009163_-1.45526432,9.06009163,-1.45526432,0.946917,0,
rd_208.0189835_63.47134223,208.0189835,63.47134223,0.946904,0,
rd_218.1793849_5.36981467,218.1793849,5.36981467,0.946896,0,
rd_35.38578107_19.32297559,35.38578107,19.32297559,0.946846,0,
rd_109.2501475_62.63588628,109.2501475,62.63588628,0.946829,1,sdO
rd_71.34841329_-64.23104362,71.34841329,-64.23104362,0.946775,0,
rd_253.0694727_51.09477132,253.0694727,51.09477132,0.946763,0,
rd_111.3314541_21.67781718,111.3314541,21.67781718,0.946748,0,
rd_305.4393326_-60.61723369,305.4393326,-60.61723369,0.946644,0,
rd_306.6983156_-54.16905081,306.6983156,-54.16905081,0.946616,0,
rd_328.9159559_-48.42592274,328.9159559,-48.42592274,0.946607,0,
rd_231.218645_5.1409601,231.218645,5.1409601,0.94656,0,
rd_42.63685809_-36.56106628,42.63685809,-36.56106628,0.946559,0,
rd_86.90565845_-22.29848888,86.90565845,-22.29848888,0.946507,0,
rd_12.14954128_-41.28454108,12.14954128,-41.28454108,0.946468,0,
rd_44.40062253_7.09895153,44.40062253,7.09895153,0.946424,0,
rd_2.43706413_32.01459797,2.43706413,32.01459797,0.946419,0,
rd_182.8103447_1.92677491,182.8103447,1.92677491,0.946415,0,
rd_166.6886957_-5.97136446,166.6886957,-5.97136446,0.946374,0,
rd_190.2194786_-2.03782839,190.2194786,-2.03782839,0.946364,0,
rd_338.9070882_-4.00074937,338.9070882,-4.00074937,0.946355,0,
rd_187.9255671_15.26299108,187.9255671,15.26299108,0.946301,0,
rd_15.62624872_-4.52803996,15.62624872,-4.52803996,0.946278,0,
rd_167.0197509_30.5787722,167.0197509,30.5787722,0.94625,0,
rd_162.0774412_1.81217367,162.0774412,1.81217367,0.946221,0,
rd_331.9961542_18.90351929,331.9961542,18.90351929,0.946172,0,
rd_83.13223906_-23.56679052,83.13223906,-23.56679052,0.946154,0,
rd_205.1576552_-10.01766724,205.1576552,-10.01766724,0.946079,0,
rd_316.8371316_-2.36266853,316.8371316,-2.36266853,0.946047,0,
rd_324.3927094_-41.2650971,324.3927094,-41.2650971,0.945912,0,
rd_343.9293807_-55.48781915,343.9293807,-55.48781915,0.94587,0,
rd_182.024155_26.6854611,182.024155,26.6854611,0.945861,0,
rd_158.9056986_27.10860376,158.9056986,27.10860376,0.945857,0,
rd_347.2444084_-63.79284942,347.2444084,-63.79284942,0.945799,0,
rd_232.0109441_24.07382934,232.0109441,24.07382934,0.945739,0,
rd_218.6670112_6.11741,218.6670112,6.11741,0.945733,0,
rd_35.8246096_-2.71454494,35.8246096,-2.71454494,0.945635,0,
rd_322.5129972_-13.32099304,322.5129972,-13.32099304,0.945627,0,
rd_35.77485298_15.13875293,35.77485298,15.13875293,0.945622,0,
rd_152.3597246_30.26592182,152.3597246,30.26592182,0.945525,0,
rd_55.51490152_-48.93191607,55.51490152,-48.93191607,0.94546,0,
rd_43.11964421_-41.20646303,43.11964421,-41.20646303,0.945421,0,
rd_125.9814661_4.04382235,125.9814661,4.04382235,0.945328,0,
rd_22.63254811_-61.69945952,22.63254811,-61.69945952,0.9453,0,
